company,origin_country,category,current_owner,owner_country,ownership_status,deal_year,deal_status,notes,source_url,source_publisher,accessed_date
Agoda,Singapore,travel booking,Booking Holdings,USA,acquired_non_european,2007,completed,Agoda is Singapore-headquartered and part of Booking Holdings,https://www.bookingholdings.com/brands/agoda/,Booking Holdings,2026-07-02
Booking.com,Netherlands,travel booking,Booking Holdings,USA,acquired_non_european,2005,completed,Dutch hotel booking platform acquired by Priceline.com,https://www.sec.gov/Archives/edgar/data/1075531/000110465905033189/a05-12314_1ex99d1.htm,SEC,2026-07-02
Hotels.com,USA,travel booking,Expedia Group,USA,acquired_non_european,2001,completed,Hotels.com is an Expedia Group company and not a European-origin brand,https://www.hotels.com/,Hotels.com,2026-07-02
TUI,Germany,travel group,Public shareholders,Germany,public_european,,not_known_acquired,TUI is a listed European travel group rather than a non-European takeover case,https://www.tuigroup.com/en/investors,TUI Group,2026-07-02
Choice Hotels,USA,hotel franchising,Public shareholders,USA,public_non_european,,not_known_acquired,US hotel franchising company included as a travel-booking landscape comparator,https://investor.choicehotels.com/financials/sec-filings/default.aspx,Choice Hotels,2026-07-02
KAYAK,USA,travel metasearch,Booking Holdings,USA,acquired_non_european,2013,completed,KAYAK is part of Booking Holdings after Priceline.com completed the merger in 2013,https://www.sec.gov/Archives/edgar/data/1075531/000107553113000030/kayakclosing8-k.htm,SEC,2026-07-02
HolidayCheck,Germany,travel reviews and booking,Hubert Burda Media,Germany,acquired_european,2006,completed,HolidayCheck Group shareholder data shows Burda Digital as major shareholder,https://www.holidaycheckgroup.com/investor-relations/annual-reports/?lang=en,HolidayCheck Group,2026-07-02
DERTOUR,Germany,travel group,REWE Group,Germany,private_european,,not_known_acquired,DERTOUR Group is REWE Group's travel and tourism division,https://www.rewe-group.com/en/company/structure-and-saleslines/der-touristik/,REWE Group,2026-07-02
ZenHotels,Unknown,hotel booking,Emerging Travel Group,Unknown,unknown,,not_known_acquired,ZenHotels is operated by Emerging Travel Group but owner country needs further registry review,https://www.emergingtravel.com/brands,Emerging Travel Group,2026-07-02
Stayforlong,Spain,hotel booking,Stayforlong S.L.,Spain,private_european,,not_known_acquired,Barcelona hotel booking platform focused on longer stays,https://www.stayforlong.com/the-brand/about-us,Stayforlong,2026-07-02
