brand,country,operator_or_platform,current_owner_or_controller,owner_country,founder_ownership_status,confidence,notes,source_url,source_publisher,accessed_date
AutoScout24,Europe,AutoScout24,Hellman & Friedman,USA,not_founder_owned,high,Scout24 completed the sale of AutoScout24 to Hellman & Friedman in 2020.,https://www.scout24.com/en/investor-relations/financial-news/ir-news/detail/scout24-ag-completes-sale-of-autoscout24-1,Scout24,2026-07-05
mobile.de,Germany,Adevinta / mobile.de,"Adevinta consortium led by Permira and Blackstone",United Kingdom / USA / Norway,not_founder_owned,high,mobile.de is an Adevinta subsidiary and Adevinta was taken private by the Permira-Blackstone-led offeror in 2024.,https://adevinta.com/brand/mobile-de/,Adevinta,2026-07-05
AUTO1.com,Europe,AUTO1 Group SE,Public shareholders,Germany,public_company,high,AUTO1.com is one of AUTO1 Group's three core brands; AUTO1 Group SE is a listed company.,https://ir.auto1-group.com/,AUTO1 Group,2026-07-05
Autohero,Europe,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Autohero is part of AUTO1 Group's retail segment; AUTO1 Group SE is a listed company.,https://ir.auto1-group.com/,AUTO1 Group,2026-07-05
wirkaufendeinauto.de,Germany,AUTO1 Group SE,Public shareholders,Germany,public_company,high,wirkaufendeinauto.de is part of AUTO1 Group's consumer car-selling brand family.,https://www.auto1-group.com/company/wirkaufendeinauto/,AUTO1 Group,2026-07-05
wirkaufendeinauto.at,Austria,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Austrian sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vendezvotrevoiture.fr,France,AUTO1 Group SE,Public shareholders,Germany,public_company,high,French sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vendezvotrevoiture.be,Belgium,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Belgian sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
wijkopenautos.be,Belgium,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Belgian Dutch-language sister brand operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
wijkopenautos.nl,Netherlands,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Dutch sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
noicompriamoauto.it,Italy,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Italian sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
compramostucoche.es,Spain,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Spanish sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vikoperdinbil.se,Sweden,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Swedish sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
compramososeucarro.pt,Portugal,AUTO1 Group SE,Public shareholders,Germany,public_company,high,Portuguese sister brand of wirkaufendeinauto.de operated under AUTO1 Group.,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
Carvago,Europe,EAG European Automotive Group,EAG Group / Portiva Private Equity with founders involved,Czech Republic,investor_backed_founder_involved,medium,Carvago belongs to EAG; EAG was founded by Jakub Sulta and partners and Portiva acquired a 50% stake in EAG.,https://carvago.com/about-us,Carvago,2026-07-05
Auto Trader UK,United Kingdom,Auto Trader Group plc,Public shareholders,United Kingdom,public_company,high,Auto Trader Group plc is the listed operator behind the UK automotive marketplace.,https://plc.autotrader.co.uk/investors/results-centre/,Auto Trader,2026-07-05
Gumtree Motors,United Kingdom,Gumtree UK / Motors.co.uk,O3 Industries and Novum Capital,USA / Germany,not_founder_owned,high,Adevinta sold Gumtree UK and Motors.co.uk to O3 Industries and Novum Capital in 2021.,https://adevinta.com/press-releases/adevinta-sells-gumtree-uk-and-motors-co-uk-to-o3-industries-and-novum-capital/,Adevinta,2026-07-05
Carwow,United Kingdom,Carwow,Private venture-backed company,United Kingdom,investor_backed_founder_involved,medium,Carwow remains private and founder-originated but has several institutional investors; no evidence of sole founder ownership.,https://www.balderton.com/news/carwow-group-secures-new-52m-investment-to-accelerate-uk-growth-and-scale-european-operations/,Balderton Capital,2026-07-05
Motorway,United Kingdom,Motorway,Private venture-backed company,United Kingdom,investor_backed_founder_involved,medium,Motorway is founder-originated and venture-backed; public sources identify institutional investors and do not support founder-only ownership.,https://tracxn.com/d/companies/motorway/__D-eo-Q-_zyKT6xpXqIoDhNx69tN-S9Y1ftsYWW_Um40,Tracxn,2026-07-05
cinch,United Kingdom,Constellation Automotive Group,TDR Capital / Constellation Automotive Group,United Kingdom,not_founder_owned,high,cinch is part of Constellation Automotive Group, which TDR Capital lists as a portfolio company.,https://www.tdrcapital.com/portfolio/constellation-automotive-group/,TDR Capital,2026-07-05
webuyanycar,United Kingdom,Constellation Automotive Group,TDR Capital / Constellation Automotive Group,United Kingdom,not_founder_owned,high,WeBuyAnyCar is one of Constellation Automotive Group's core platforms.,https://www.constellationautomotive.com/our-brands,Constellation Automotive,2026-07-05
Marktplaats Auto,Netherlands,Adevinta / Marktplaats,"Adevinta consortium led by Permira and Blackstone",United Kingdom / USA / Norway,not_founder_owned,high,Marktplaats is part of the Adevinta classifieds group now controlled by the take-private consortium.,https://adevinta.com/,Adevinta,2026-07-05
AutoTrack,Netherlands,Automotive MediaVentions / AutoScout24,AutoScout24 / Hellman & Friedman,USA,not_founder_owned,medium,AutoTrack was part of Automotive MediaVentions and was announced to become part of AutoScout24 in 2025.,https://www.mediahuis.com/en/news/autotrack-and-gaspedaal.nl-become-part-of-autoscout24,Mediahuis,2026-07-05
Gaspedaal,Netherlands,Automotive MediaVentions / AutoScout24,AutoScout24 / Hellman & Friedman,USA,not_founder_owned,medium,Gaspedaal was part of Automotive MediaVentions and was announced to become part of AutoScout24 in 2025.,https://www.mediahuis.com/en/news/autotrack-and-gaspedaal.nl-become-part-of-autoscout24,Mediahuis,2026-07-05
2dehands,Belgium,Adevinta / 2dehands,"Adevinta consortium led by Permira and Blackstone",United Kingdom / USA / Norway,not_founder_owned,high,2dehands is an Adevinta marketplace brand and therefore no longer founder-owned.,https://adevinta.com/,Adevinta,2026-07-05
Vroom.be,Belgium,Vroom.be,Jean Loubinoux and Donald Wolfs,Belgium,private_founder_or_operator_owned_unclear,low,Public evidence points to a 2023 acquisition by Jean Loubinoux and Donald Wolfs; founder status and current cap table need registry verification.,https://www.linkedin.com/posts/donaldwolfs_the-road-ahead-is-exciting-jean-activity-7046728615480180736-80Aa,LinkedIn,2026-07-05
Gocar.be,Belgium,Roularta / Gocar,Roularta Media Group,Belgium,not_founder_owned,medium,Roularta lists Gocar as one of its brands; founder ownership was not supported by public evidence.,https://www.roularta.com/en/brands/gocar/,Roularta,2026-07-05
Leboncoin Auto,France,Adevinta / leboncoin,"Adevinta consortium led by Permira and Blackstone",United Kingdom / USA / Norway,not_founder_owned,high,leboncoin is an Adevinta brand and Adevinta was taken private in 2024.,https://adevinta.com/brand/leboncoin/,Adevinta,2026-07-05
ParuVendu Auto,France,ParuVendu.fr,Groupe Arche,France,not_founder_owned,medium,Public marketplace reporting says Groupe Arche acquired 100% of ParuVendu.fr in 2025.,https://www.onlinemarketplaces.com/articles/bienici-owner-acquires-classifieds-site-paruvendu-fr-to-challenge-seloger-and-leboncoin/,Online Marketplaces,2026-07-05
La Centrale,France,La Centrale,Providence Equity Partners,USA,not_founder_owned,medium,Providence lists La Centrale as a portfolio company; OLX Group / Prosus announced a 2025 acquisition agreement but closing still needs verification.,https://www.provequity.com/portfolio/la-centrale,Providence Equity Partners,2026-07-05
Coches.net,Spain,Adevinta Spain / coches.net,Adevinta consortium led by Permira and Blackstone,United Kingdom / USA / Norway,not_founder_owned,medium,Adevinta Spain remained the source-backed current owner pending verification of the announced EQT transaction closing.,https://adevinta.com/press-releases/adevinta-asa-ade-completion-of-the-voluntary-offer-for-all-issued-and-outstanding-ordinary-class-a-shares-in-adevinta-asa/,Adevinta,2026-07-05
Milanuncios Motor,Spain,Adevinta Spain / Milanuncios,Adevinta consortium led by Permira and Blackstone,United Kingdom / USA / Norway,not_founder_owned,medium,Adevinta Spain remained the source-backed current owner pending verification of the announced EQT transaction closing.,https://adevinta.com/press-releases/adevinta-asa-ade-completion-of-the-voluntary-offer-for-all-issued-and-outstanding-ordinary-class-a-shares-in-adevinta-asa/,Adevinta,2026-07-05
Subito Motori,Italy,Adevinta / Subito,"Adevinta consortium led by Permira and Blackstone",United Kingdom / USA / Norway,not_founder_owned,high,Subito says it is part of Adevinta.,https://info.subito.it/,Subito,2026-07-05
willhaben Auto,Austria,willhaben,Styria Media Group and Sprints Capital,Austria / Sweden,needs_completion_verification,medium,Styria and Sprints announced an agreement to jointly own and develop willhaben by acquiring Adevinta's stake; keep out of the public current-owner list until closing is verified.,https://www.eh.at/en/eh-advised-styria-on-its-partnership-with-sprints-to-acquire-adevintas-shares-in-willhaben/,E+H,2026-07-05
AutoScout24.ch,Switzerland,SMG Swiss Marketplace Group,"TX Group, Ringier, Mobiliar, and General Atlantic",Switzerland / USA,not_founder_owned,high,Swiss AutoScout24 is part of SMG Swiss Marketplace Group, created by TX Group, Ringier, Mobiliar and General Atlantic.,https://www.ringier.com/following-the-merger-with-smg-swiss-marketplace-group-ag-scout24-schweiz-ags-board-of-directors-will-be-dissolved-and-long-standing-board-members-will-leave-their-positions/,Ringier,2026-07-05
