brand,sector,origin_country,brand_type,notes
AutoScout24,Auto marketplace,Germany,mobility,Consumer car marketplace
momondo,Travel,Denmark,platform,Flight and travel meta-search
FREENOW,Mobility,Germany,app,Taxi and mobility app
Drivy,Car sharing,France,app,Car-sharing platform later Getaround Europe
KIKO Milano,Beauty,Italy,retail,Consumer cosmetics retailer
Saturn,Consumer electronics retail,Germany,retail,Part of MediaMarktSaturn / CECONOMY
MediaMarkt,Consumer electronics retail,Germany,retail,Part of MediaMarktSaturn / CECONOMY
Gorenje,Household appliances,Slovenia,consumer_goods,Appliances brand
mobile.de,Auto marketplace,Germany,mobility,Car marketplace
Kleinanzeigen,Classifieds,Germany,marketplace,Former eBay Kleinanzeigen
KUKA,Robotics,Germany,industrial,Symbolic German robotics company
Bally,Luxury fashion,Switzerland,fashion,Luxury shoes/fashion brand
G-Star RAW,Fashion,Netherlands,fashion,Dutch denim brand
Scotch & Soda,Fashion,Netherlands,fashion,Dutch fashion brand
Wolt,Food delivery,Finland,app,Food delivery and local commerce app
Depop,Fashion resale,United Kingdom,marketplace,Fashion resale marketplace popular with younger consumers
Shazam,Music,United Kingdom,app,Music recognition app
Skyscanner,Travel,United Kingdom,platform,Travel search and comparison platform
Supercell,Gaming,Finland,app,Mobile game developer behind Clash of Clans
iZettle,Payments,Sweden,app,Small business payments and point-of-sale platform
Rovio,Gaming,Finland,app,Mobile game developer behind Angry Birds
Kahoot,Education,Norway,platform,Game-based learning platform
Farfetch,Luxury fashion,United Kingdom,marketplace,Online luxury marketplace
END.,Fashion retail,United Kingdom,retail,Luxury streetwear and sportswear retailer
Ted Baker,Fashion,United Kingdom,fashion,British fashion and lifestyle brand
Hunter Boots,Footwear,United Kingdom,fashion,British heritage footwear and outerwear brand
Gorillas,Grocery delivery,Germany,app,Ultrafast grocery delivery app
Busuu,Language learning,United Kingdom,app,Language learning app
Circ,Mobility,Germany,app,E-scooter and micromobility operator
Zoopla,Real estate marketplace,United Kingdom,marketplace,UK property portal
OnTheMarket,Real estate marketplace,United Kingdom,marketplace,UK residential property portal
Notonthehighstreet,Marketplace,United Kingdom,marketplace,Curated gifts and lifestyle marketplace
Hotel Chocolat,Retail,United Kingdom,retail,Premium chocolate retailer
Grenade,Retail,United Kingdom,retail,Performance nutrition brand
Rapha,Fashion,United Kingdom,fashion,Cycling apparel brand
Pinarello,Fashion,Italy,fashion,Premium bicycle brand
Birkenstock,Fashion,Germany,fashion,Footwear brand
King,Gaming,United Kingdom,app,Mobile game developer
Codemasters,Gaming,United Kingdom,app,Racing game studio
Outfit7,Gaming,Slovenia,app,Talking Tom game developer
Tink,Fintech,Sweden,app,Open banking platform
Nutmeg,Fintech,United Kingdom,app,Digital wealth manager
Seedrs,Fintech,United Kingdom,marketplace,Crowdfunding platform
